Sample ID,PID,Name,Polymer type,Polymer class,CU formula,Formula weight(FW),Characteristics of material,Material type,Additives,Reference,Trade name/ Grade/ Manufacturer,Remarks,[proc] Compression,[proc] Shape of Test Piece,Molecular weight,[proc] Extrusion,[proc] Stretching,[proc] Remarks,State after processing,Morphology,Melt flow rate,Mixing / Blending method,[proc] Quenching,Stereoregularity,[proc]  Melt casting,[proc] Annealing,[poly] Reactant,[poly] Type,[poly] Polymn. remarks,Degree of polymerization,[proc] Foaming,[proc] Injection,[proc] As received,[proc] Aging,[proc] Aging and thermal shock testing,[proc] batch foaming,[poly] Mechanism,[poly] Style,[poly] Solvent,[poly] Initiator,[poly] Reference,[poly] Polymer reaction condition,[poly] Prepolymer name,Crosslink density,[poly] Additives,[poly] Condition,[proc] as processed,[proc] Extrusion&Compression,[proc] Electrospinning,[proc] Solvent casting,[proc] Electrospinning&Compression,[poly] Catalyst,[poly] Terminator,[poly] Post-treatment,Type of crystal,Other 1st structure info,Crystallinity,log10(thermal_con),thermal_con,[thermal_con] method,[thermal_con] condition,[thermal_con] temp,[thermal_con] remarks,thickness_raw,thickness,log10(thickness)
12073-3-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic",Composite,glass fiber;wt%;18.93,"Yen, C. L.; Tseng, H. C.; Wang, Y. Z.; Hsieh, K. H. , Journal of Applied Polymer Science , 42 , 5 , 1179-1184 (1991)",,Glass fiber reinforced PP,,Pellet,,"PP(Youngsox;;Yung Chia Chem. Ind. Co., Mw=108000, Mw/Mn=3.9) compounded with glass fiber (l=6mm, d=18-20micron) through twin screw extruder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7772835288524167,0.167,Compensating hot wire method,"ca 189 [C] , 1kg/cm2",189.0,Taken from the Fig.,,,
12639-2-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic",Composite,carbon black (CB-V);wt%;29,"Suzuki, Takanori; Fujikura, Yoshiaki; Ikeda, Susumu; Ogita, Tetsuya; Ozaki, Fumihiko , Sen'i Gakkaishi , 47 , 5 , 217-226 (1991)",,"(Base polymer;LDPE) Sholex;M251;Showa Denko, (CB-V) Shest V (GPF), particle size 62nm, DBP absorption 87ml/100g","140C, 100kg/cm2",Sheet,,,,"t = ca.1.2mm, d = 60mm (thermal cond.)",,,"55(g/10min,)",(Mechanical mixing) LDPE/CB mixed at 140C for 10min on mixing roller,0C under compression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3665315444204134,0.43,Schroder method,,,"Converted from ca.0.370kcal/(m*h*C), taken from the Fig.","t = ca.1.2mm, d = 60mm (thermal cond.)",0.0012,-2.9208187539523753
12639-3-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic",Composite,carbon black (CB-V);wt%;44.4,"Suzuki, Takanori; Fujikura, Yoshiaki; Ikeda, Susumu; Ogita, Tetsuya; Ozaki, Fumihiko , Sen'i Gakkaishi , 47 , 5 , 217-226 (1991)",,"(Base polymer;LDPE) Sholex;M251;Showa Denko, (CB-V) Shest V (GPF), particle size 62nm, DBP absorption 87ml/100g","140C, 100kg/cm2",Sheet,,,,"t = ca.1.2mm, d = 60mm (thermal cond.)",,,"55(g/10min,)",(Mechanical mixing) LDPE/CB mixed at 140C for 10min on mixing roller,0C under compression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2533658010624212,0.558,Schroder method,,,"Converted from ca.0.480kcal/(m*h*C), taken from the Fig.","t = ca.1.2mm, d = 60mm (thermal cond.)",0.0012,-2.9208187539523753
12639-4-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic",Composite,carbon black (CB-V);wt%;60,"Suzuki, Takanori; Fujikura, Yoshiaki; Ikeda, Susumu; Ogita, Tetsuya; Ozaki, Fumihiko , Sen'i Gakkaishi , 47 , 5 , 217-226 (1991)",,"(Base polymer;LDPE) Sholex;M251;Showa Denko, (CB-V) Shest V (GPF), particle size 62nm, DBP absorption 87ml/100g","140C, 100kg/cm2",Sheet,,,,"t = ca.1.2mm, d = 60mm (thermal cond.)",,,"55(g/10min,)",(Mechanical mixing) LDPE/CB mixed at 140C for 10min on mixing roller,0C under compression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1817741063860445,0.658,Schroder method,,,Converted from 0.566kcal/(m*h*C),"t = ca.1.2mm, d = 60mm (thermal cond.)",0.0012,-2.9208187539523753
12639-5-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic",Composite,carbon black (CB-8500);wt%;44.4,"Suzuki, Takanori; Fujikura, Yoshiaki; Ikeda, Susumu; Ogita, Tetsuya; Ozaki, Fumihiko , Sen'i Gakkaishi , 47 , 5 , 217-226 (1991)",,"(Base polymer;LDPE) Sholex;M251;Showa Denko, (CB-8500) Touka black 8500 (MCF), particle size 12.5nm, DBP absorption 104ml/100g","140C, 100kg/cm2",Sheet,,,,"t = ca.1.2mm, d = 60mm (thermal cond.)",,,"55(g/10min,)",(Mechanical mixing) LDPE/CB mixed at 140C for 10min on mixing roller,0C under compression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3665315444204134,0.43,Schroder method,,,"Converted from ca.0.370kcal/(m*h*C), taken from the Fig.","t = ca.1.2mm, d = 60mm (thermal cond.)",0.0012,-2.9208187539523753
12639-6-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic",Composite,carbon black (CB-300);wt%;44.4,"Suzuki, Takanori; Fujikura, Yoshiaki; Ikeda, Susumu; Ogita, Tetsuya; Ozaki, Fumihiko , Sen'i Gakkaishi , 47 , 5 , 217-226 (1991)",,"(Base polymer;LDPE) Sholex;M251;Showa Denko, (CB-300) Shest 300 (HAF-LS), particle size 28nm, DBP absorption 75ml/100g","140C, 100kg/cm2",Sheet,,,,"t = ca.1.2mm, d = 60mm (thermal cond.)",,,"55(g/10min,)",(Mechanical mixing) LDPE/CB mixed at 140C for 10min on mixing roller,0C under compression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2716462179787715,0.535,Schroder method,,,"Converted from ca.0.460kcal/(m*h*C), taken from the Fig.","t = ca.1.2mm, d = 60mm (thermal cond.)",0.0012,-2.9208187539523753
12639-7-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic",Composite,carbon black (CB-SO);wt%;44.4,"Suzuki, Takanori; Fujikura, Yoshiaki; Ikeda, Susumu; Ogita, Tetsuya; Ozaki, Fumihiko , Sen'i Gakkaishi , 47 , 5 , 217-226 (1991)",,"(Base polymer;LDPE) Sholex;M251;Showa Denko, (CB-SO) Shest SO (FEF), particle size 43nm, DBP absorption 115ml/100g","140C, 100kg/cm2",Sheet,,,,"t = ca.1.2mm, d = 60mm (thermal cond.)",,,"55(g/10min,)",(Mechanical mixing) LDPE/CB mixed at 140C for 10min on mixing roller,0C under compression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2441251443275086,0.57,Schroder method,,,"Converted from ca.0.490kcal/(m*h*C), taken from the Fig.","t = ca.1.2mm, d = 60mm (thermal cond.)",0.0012,-2.9208187539523753
12639-9-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic",Composite,carbon black (CB-V);wt%;29,"Suzuki, Takanori; Fujikura, Yoshiaki; Ikeda, Susumu; Ogita, Tetsuya; Ozaki, Fumihiko , Sen'i Gakkaishi , 47 , 5 , 217-226 (1991)",,"(Base polymer;LDPE) Sholex;M221;Showa Denko, (CB-V) Shest V (GPF), particle size 62nm, DBP absorption 87ml/100g","140C, 100kg/cm2",Sheet,,,,"t = ca.1.2mm, d = 60mm (thermal cond.)",,,"20(g/10min,)",(Mechanical mixing) LDPE/CB mixed at 140C for 10min on mixing roller,0C under compression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3605135107314139,0.436,Schroder method,,,"Converted from ca.0.375kcal/(m*h*C), taken from the Fig.","t = ca.1.2mm, d = 60mm (thermal cond.)",0.0012,-2.9208187539523753
12639-10-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Thermoplastic",Composite,carbon black (CB-V);wt%;44.4,"Suzuki, Takanori; Fujikura, Yoshiaki; Ikeda, Susumu; Ogita, Tetsuya; Ozaki, Fumihiko , Sen'i Gakkaishi , 47 , 5 , 217-226 (1991)",,"(Base polymer;LDPE) Sholex;M221;Showa Denko, (CB-V) Shest V (GPF), particle size 62nm, DBP absorption 87ml/100g","140C, 100kg/cm2",Sheet,,,,"t = ca.1.2mm, d = 60mm (thermal cond.)",,,"20(g/10min,)",(Mechanical mixing) LDPE/CB mixed at 140C for 10min on mixing roller,0C under compression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3142582613977364,0.485,Schroder method,,,"Converted from 0.412-0.422kcal/(m*h*C), taken from the Fig.","t = ca.1.2mm, d = 60mm (thermal cond.)",0.0012,-2.9208187539523753
13266-2-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,linear,Composite,nickel powder; vol.%; 1.0,"Maiti, S. N.; Mahapatro, P. K. , Polymer Composites , 11 , 4 , 223-228 (1990)",,isotactic polypropylene(Koylene; M0030; Indian Petrochemicals Corporation Limited) used for the composite,"473K, 1.04E(7)Pa",Disk,,,,"Diam. = 5cm, t = 3mm",,,,,,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8927900303521317,0.128,Lees and Charlton disc method,,,Taken from the Fig.,"Diam. = 5cm, t = 3mm",0.003,-2.5228787452803374
13266-3-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,linear,Composite,nickel powder; vol.%; 3.4,"Maiti, S. N.; Mahapatro, P. K. , Polymer Composites , 11 , 4 , 223-228 (1990)",,isotactic polypropylene(Koylene; M0030; Indian Petrochemicals Corporation Limited) used for the composite,"473K, 1.04E(7)Pa",Disk,,,,"Diam. = 5cm, t = 3mm",,,,,,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8297382846050426,0.148,Lees and Charlton disc method,,,Taken from the Fig.,"Diam. = 5cm, t = 3mm",0.003,-2.5228787452803374
13440-2-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Crystal",Composite,carbon black;wt. fraction;0.167,"Suzuki, Takanori; Fujikura, Yoshiaki; Ozaki, Fumihiko; Ikeda, Susumu , Sen'i Gakkaishi , 49 , 1 , 1-5 (1993)",Sholex/ M251/ Showa Denko Co.,carbon black;Toukablack Sheast V,170C 4.9MPa,Disk,,,,"t=1.2-2.5mm,diam.=60mm",,,,Kneaded at 150C 10min by mixing roller(3x6in.),Quenched at 0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3819519032879073,0.415,Schroeder method,333 [K],60.0,Taken from the Fig.,"t=1.2-2.5mm,diam.=60mm",0.00185,-2.7328282715969863
13440-3-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Crystal",Composite,carbon black;wt. fraction;0.286,"Suzuki, Takanori; Fujikura, Yoshiaki; Ozaki, Fumihiko; Ikeda, Susumu , Sen'i Gakkaishi , 49 , 1 , 1-5 (1993)",Sholex/ M251/ Showa Denko Co.,carbon black;Toukablack Sheast V,170C 4.9MPa,Disk,,,,"t=1.2-2.5mm,diam.=60mm",,,,Kneaded at 150C 10min by mixing roller(3x6in.),Quenched at 0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2823294969977378,0.522,Schroeder method,333 [K],60.0,Taken from the Fig.,"t=1.2-2.5mm,diam.=60mm",0.00185,-2.7328282715969863
13440-4-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Crystal",Composite,carbon black;wt. fraction;0.375,"Suzuki, Takanori; Fujikura, Yoshiaki; Ozaki, Fumihiko; Ikeda, Susumu , Sen'i Gakkaishi , 49 , 1 , 1-5 (1993)",Sholex/ M251/ Showa Denko Co.,carbon black;Toukablack Sheast V,170C 4.9MPa,Disk,,,,"t=1.2-2.5mm,diam.=60mm",,,,Kneaded at 150C 10min by mixing roller(3x6in.),Quenched at 0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2328441339178195,0.585,Schroeder method,333 [K],60.0,Taken from the Fig.,"t=1.2-2.5mm,diam.=60mm",0.00185,-2.7328282715969863
13440-5-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Crystal",Composite,carbon black;wt. fraction;0.5,"Suzuki, Takanori; Fujikura, Yoshiaki; Ozaki, Fumihiko; Ikeda, Susumu , Sen'i Gakkaishi , 49 , 1 , 1-5 (1993)",Sholex/ M251/ Showa Denko Co.,carbon black;Toukablack Sheast V,170C 4.9MPa,Disk,,,,"t=1.2-2.5mm,diam.=60mm",,,,Kneaded at 150C 10min by mixing roller(3x6in.),Quenched at 0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.166215625343521,0.682,Schroeder method,333 [K],60.0,Taken from the Fig.,"t=1.2-2.5mm,diam.=60mm",0.00185,-2.7328282715969863
13440-6-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Crystal",Composite,carbon black;wt. fraction;0.545,"Suzuki, Takanori; Fujikura, Yoshiaki; Ozaki, Fumihiko; Ikeda, Susumu , Sen'i Gakkaishi , 49 , 1 , 1-5 (1993)",Sholex/ M251/ Showa Denko Co.,carbon black;Toukablack Sheast V,170C 4.9MPa,Disk,,,,"t=1.2-2.5mm,diam.=60mm",,,,Kneaded at 150C 10min by mixing roller(3x6in.),Quenched at 0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1337126609158051,0.735,Schroeder method,333 [K],60.0,Taken from the Fig.,"t=1.2-2.5mm,diam.=60mm",0.00185,-2.7328282715969863
13440-7-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Crystal",Composite,carbon black;wt. fraction;0.6,"Suzuki, Takanori; Fujikura, Yoshiaki; Ozaki, Fumihiko; Ikeda, Susumu , Sen'i Gakkaishi , 49 , 1 , 1-5 (1993)",Sholex/ M251/ Showa Denko Co.,carbon black;Toukablack Sheast V,170C 4.9MPa,Disk,,,,"t=1.2-2.5mm,diam.=60mm",,,,Kneaded at 150C 10min by mixing roller(3x6in.),Quenched at 0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1012748184105064,0.792,Schroeder method,333 [K],60.0,Taken from the Fig.,"t=1.2-2.5mm,diam.=60mm",0.00185,-2.7328282715969863
13440-9-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Crystal",Composite,carbon black;wt. fraction;0.167,"Suzuki, Takanori; Fujikura, Yoshiaki; Ozaki, Fumihiko; Ikeda, Susumu , Sen'i Gakkaishi , 49 , 1 , 1-5 (1993)",Sholex/ 890E/ Showa Denko Co.,carbon black;Toukablack Sheast V,170C 4.9MPa,Disk,,,,"t=1.2-2.5mm,diam.=60mm",,,,Kneaded at 150C 10min by mixing roller(3x6in.),Quenched at 0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3448615651886179,0.452,Schroeder method,333 [K],60.0,Taken from the Fig.,"t=1.2-2.5mm,diam.=60mm",0.00185,-2.7328282715969863
13440-10-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Crystal",Composite,carbon black;wt. fraction;0.286,"Suzuki, Takanori; Fujikura, Yoshiaki; Ozaki, Fumihiko; Ikeda, Susumu , Sen'i Gakkaishi , 49 , 1 , 1-5 (1993)",Sholex/ 890E/ Showa Denko Co.,carbon black;Toukablack Sheast V,170C 4.9MPa,Disk,,,,"t=1.2-2.5mm,diam.=60mm",,,,Kneaded at 150C 10min by mixing roller(3x6in.),Quenched at 0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2612194415156308,0.548,Schroeder method,333 [K],60.0,Taken from the Fig.,"t=1.2-2.5mm,diam.=60mm",0.00185,-2.7328282715969863
13440-11-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Crystal",Composite,carbon black;wt. fraction;0.375,"Suzuki, Takanori; Fujikura, Yoshiaki; Ozaki, Fumihiko; Ikeda, Susumu , Sen'i Gakkaishi , 49 , 1 , 1-5 (1993)",Sholex/ 890E/ Showa Denko Co.,carbon black;Toukablack Sheast V,170C 4.9MPa,Disk,,,,"t=1.2-2.5mm,diam.=60mm",,,,Kneaded at 150C 10min by mixing roller(3x6in.),Quenched at 0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2062096153091813,0.622,Schroeder method,333 [K],60.0,Taken from the Fig.,"t=1.2-2.5mm,diam.=60mm",0.00185,-2.7328282715969863
13440-12-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Crystal",Composite,carbon black;wt. fraction;0.444,"Suzuki, Takanori; Fujikura, Yoshiaki; Ozaki, Fumihiko; Ikeda, Susumu , Sen'i Gakkaishi , 49 , 1 , 1-5 (1993)",Sholex/ 890E/ Showa Denko Co.,carbon black;Toukablack Sheast V,170C 4.9MPa,Disk,,,,"t=1.2-2.5mm,diam.=60mm",,,,Kneaded at 150C 10min by mixing roller(3x6in.),Quenched at 0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.166215625343521,0.682,Schroeder method,333 [K],60.0,Taken from the Fig.,"t=1.2-2.5mm,diam.=60mm",0.00185,-2.7328282715969863
13440-13-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Crystal",Composite,carbon black;wt. fraction;0.5,"Suzuki, Takanori; Fujikura, Yoshiaki; Ozaki, Fumihiko; Ikeda, Susumu , Sen'i Gakkaishi , 49 , 1 , 1-5 (1993)",Sholex/ 890E/ Showa Denko Co.,carbon black;Toukablack Sheast V,170C 4.9MPa,Disk,,,,"t=1.2-2.5mm,diam.=60mm",,,,Kneaded at 150C 10min by mixing roller(3x6in.),Quenched at 0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1278437272517071,0.745,Schroeder method,333 [K],60.0,Taken from the Fig.,"t=1.2-2.5mm,diam.=60mm",0.00185,-2.7328282715969863
13440-14-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Crystal",Composite,carbon black;wt. fraction;0.545,"Suzuki, Takanori; Fujikura, Yoshiaki; Ozaki, Fumihiko; Ikeda, Susumu , Sen'i Gakkaishi , 49 , 1 , 1-5 (1993)",Sholex/ 890E/ Showa Denko Co.,carbon black;Toukablack Sheast V,170C 4.9MPa,Disk,,,,"t=1.2-2.5mm,diam.=60mm",,,,Kneaded at 150C 10min by mixing roller(3x6in.),Quenched at 0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.112945621949043,0.771,Schroeder method,333 [K],60.0,Taken from the Fig.,"t=1.2-2.5mm,diam.=60mm",0.00185,-2.7328282715969863
13440-15-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,"linear,Crystal",Composite,carbon black;wt. fraction;0.6,"Suzuki, Takanori; Fujikura, Yoshiaki; Ozaki, Fumihiko; Ikeda, Susumu , Sen'i Gakkaishi , 49 , 1 , 1-5 (1993)",Sholex/ 890E/ Showa Denko Co.,carbon black;Toukablack Sheast V,170C 4.9MPa,Disk,,,,"t=1.2-2.5mm,diam.=60mm",,,,Kneaded at 150C 10min by mixing roller(3x6in.),Quenched at 0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0958256317158364,0.802,Schroeder method,333 [K],60.0,Taken from the Fig.,"t=1.2-2.5mm,diam.=60mm",0.00185,-2.7328282715969863
