Sample ID,PID,Name,Polymer type,Polymer class,CU formula,Formula weight(FW),Trade name/ Grade/ Manufacturer,Characteristics of material,Material type,Additives,[proc] Compression,[proc] Shape of Test Piece,[proc] Remarks,Reference,Sequence info,Remarks,Mixing / Blending method,State after processing,Molecular weight,Stereoregularity,[proc] Quenching,Melt flow rate,[proc] Extrusion,[proc] Solvent casting,[poly] Reactant,[poly] Type,[poly] Style,[proc] Aging,[proc] Injection,[poly] Mechanism,[poly] Initiator,[poly] Additives,[poly] Condition,[poly] Post-treatment,[poly] Polymn. remarks,[proc] Heating-cooling cycle,[poly] Solvent,[poly] Reference,[proc] Spinning,[proc] Solvent casting & Compression,[proc] Solvent casting&Reaction molding,Morphology,Type of crystal,[proc] Heat-treatment,[proc] Stretching,[proc] Quenching&Annealing,[proc] Annealing,[proc] Annealing&Cooling,[proc] Electrospinning,[proc] Solvent casting&Compression,[proc] Annealing&single shear deformation,[proc] Annealing&double shear deformation,[proc] Gelation/crystn. from dil. soln.,Crystallinity,[proc] Annealing&Shear deformation,[proc] Dip coating,Other 1st structure info,[poly] Catalyst,[poly] Terminator,[proc] Microinjection-compression,[proc] Microinjection,[proc] as processed,[proc] Spin coating,[proc] Coating,[poly] Prepolymer name,[poly] Polymer reaction condition,[proc] Soln. blow spinning,Doping agent,Branch/crosslink info,[proc] Crystallization,[proc] Bulk foaming,[proc] Sulfonation,[proc] spin coating,[proc] sintering,[proc] Thermal treatment,Method,Condition,Related Info.,elecon,log10(elecon),[elecon] condition,[elecon] remarks,[elecon] method,[elecon] temp,thickness_raw,thickness,log10(thickness)
13497-4-1-1,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,pitch based carbon fiber; volume fraction %; 20,"270C, 60MPa",Sheet,"l = 35mm, w = 5mm, t = 3mm","Demain, A.; Issi, J. P. , Journal of Composite Materials , 27 , 7 , 668-683 (1993)",,"polycarbonate, Lexan; 145; General Electric, fiber 500 micro meter long in the composite","PC diluted in dioxane, fiber incorporated in the soln., then homogenized for 15min using magnetic stirrer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.1760912590556811,"23 [C] ,  Measured in a direction parallel to largest faces of plates, called longitudinal",Taken from the Fig.,Four probe method,23.0,"l = 35mm, w = 5mm, t = 3mm",0.003,-2.5228787452803374
13497-5-1-1,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,pitch based carbon fiber; volume fraction %; 30,"270C, 60MPa",Sheet,"l = 35mm, w = 5mm, t = 3mm","Demain, A.; Issi, J. P. , Journal of Composite Materials , 27 , 7 , 668-683 (1993)",,"polycarbonate, Lexan; 145; General Electric, fiber 500 micro meter long in the composite","PC diluted in dioxane, fiber incorporated in the soln., then homogenized for 15min using magnetic stirrer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1.462397997898956,"23 [C] ,  Measured in a direction parallel to largest faces of plates, called longitudinal",Taken from the Fig.,Four probe method,23.0,"l = 35mm, w = 5mm, t = 3mm",0.003,-2.5228787452803374
14079-2-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,"linear,Electroconductive",Composite,carbon black;wt%;15,180C for 10min,Sheet,t=1mm,"Bengtsson, Per; Kubat, Josef , Plastics, Rubber and Composites Processing and Applications , 20 , 3 , 151-157 (1993)",,"carbon black,coarse-structured grade,Degussa Lamp Black 101,BET-SA;20m2/g,particle size;95nm,density;1.8g/cm3,HDPE;DMDS0905;Neste",HDPE/carbon black mixed in Brabender mixer at 180C for 10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-12,-12.0,"23 [C] , 1kHz",Taken from the Fig.1,AC resistivity,23.0,t=1mm,0.001,-3.0
14079-3-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,"linear,Electroconductive",Composite,carbon black;wt%;25,180C for 10min,Sheet,t=1mm,"Bengtsson, Per; Kubat, Josef , Plastics, Rubber and Composites Processing and Applications , 20 , 3 , 151-157 (1993)",,"carbon black,coarse-structured grade,Degussa Lamp Black 101,BET-SA;20m2/g,particle size;95nm,density;1.8g/cm3,HDPE;DMDS0905;Neste",HDPE/carbon black mixed in Brabender mixer at 180C for 10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-11,-11.0,"ca 23 [C] , 1kHz",Taken from the Fig.3,AC resistivity,23.0,t=1mm,0.001,-3.0
14079-4-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,"linear,Electroconductive",Composite,carbon black;wt%;30,180C for 10min,Sheet,t=1mm,"Bengtsson, Per; Kubat, Josef , Plastics, Rubber and Composites Processing and Applications , 20 , 3 , 151-157 (1993)",,"carbon black,coarse-structured grade,Degussa Lamp Black 101,BET-SA;20m2/g,particle size;95nm,density;1.8g/cm3,HDPE;DMDS0905;Neste",HDPE/carbon black mixed in Brabender mixer at 180C for 10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e-11,-10.30102999566398,"ca 23 [C] , 1kHz",Taken from the Fig.3,AC resistivity,23.0,t=1mm,0.001,-3.0
14079-5-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,"linear,Electroconductive",Composite,carbon black;wt%;35,180C for 10min,Sheet,t=1mm,"Bengtsson, Per; Kubat, Josef , Plastics, Rubber and Composites Processing and Applications , 20 , 3 , 151-157 (1993)",,"carbon black,coarse-structured grade,Degussa Lamp Black 101,BET-SA;20m2/g,particle size;95nm,density;1.8g/cm3,HDPE;DMDS0905;Neste",HDPE/carbon black mixed in Brabender mixer at 180C for 10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-07,-7.0,"ca 23 [C] , 1kHz",Taken from the Fig.3,AC resistivity,23.0,t=1mm,0.001,-3.0
14079-6-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,"linear,Electroconductive",Composite,carbon black;wt%;40,180C for 10min,Sheet,t=1mm,"Bengtsson, Per; Kubat, Josef , Plastics, Rubber and Composites Processing and Applications , 20 , 3 , 151-157 (1993)",,"carbon black,coarse-structured grade,Degussa Lamp Black 101,BET-SA;20m2/g,particle size;95nm,density;1.8g/cm3,HDPE;DMDS0905;Neste",HDPE/carbon black mixed in Brabender mixer at 180C for 10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,"ca 23 [C] , 1kHz",Taken from the Fig.3,AC resistivity,23.0,t=1mm,0.001,-3.0
14079-7-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,"linear,Electroconductive",Composite,carbon black;wt%;50,180C for 10min,Sheet,t=1mm,"Bengtsson, Per; Kubat, Josef , Plastics, Rubber and Composites Processing and Applications , 20 , 3 , 151-157 (1993)",,"carbon black,coarse-structured grade,Degussa Lamp Black 101,BET-SA;20m2/g,particle size;95nm,density;1.8g/cm3,HDPE;DMDS0905;Neste",HDPE/carbon black mixed in Brabender mixer at 180C for 10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,"23 [C] , 1kHz",Taken from the Fig.3,AC resistivity,23.0,t=1mm,0.001,-3.0
14088-2-1-1,P070013,poly(ethylene oxide),Homopolymer,Polyoxides/ethers/acetals,C2H4O,44.05,,"linear,polyelectrolyte&intercalation",Composite,Na+ montmorillonite,Pressed at 700MPa to assure the parallel stacking of the lamellar particles,Pellet,t=2mm,"Aranda, P.; Ruiz-Hitzky, E. , Acta Polymerica , 45 , 2 , 59-67 (1994)",,Base PEO obtained from Aldrich(MW=1E(5)),"PEO intercalated into Na+ montmorillonite in CH3CN for several days,washed with CH3CN and MeOH,then dried under vacuum at 350K",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e-05,-4.301029995663981,"10mHz-0.5MHz,maximum elec. cond. in parallel to silicate layer",,Frequency response analyzer,,t=2mm,0.002,-2.6989700043360187
14088-3-1-1,P070013,poly(ethylene oxide),Homopolymer,Polyoxides/ethers/acetals,C2H4O,44.05,,"linear,polyelectrolyte&intercalation",Composite,Li+ montmorillonite,Pressed at 700MPa to assure the parallel stacking of the lamellar particles,Pellet,t=2mm,"Aranda, P.; Ruiz-Hitzky, E. , Acta Polymerica , 45 , 2 , 59-67 (1994)",,Base PEO obtained from Aldrich(MW=1E(5)),"PEO intercalated into Li+ montmorillonite intercalation carried out in CH3CN for several days,washed with CH3CN and MeOH,then dried under vacuum at 350K",Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5e-05,-4.823908740944319,"ca 543 [K] , 10mHz-0.5MHz,maximum elec. cond. in parallel to silicate layer",Taken from the Fig.6,Frequency response analyzer,270.0,t=2mm,0.002,-2.6989700043360187
14088-3-1-2,P070013,poly(ethylene oxide),Homopolymer,Polyoxides/ethers/acetals,C2H4O,44.05,,"linear,polyelectrolyte&intercalation",Composite,Li+ montmorillonite,Pressed at 700MPa to assure the parallel stacking of the lamellar particles,Film,t=30-40micron,"Aranda, P.; Ruiz-Hitzky, E. , Acta Polymerica , 45 , 2 , 59-67 (1994)",,Base PEO obtained from Aldrich(MW=1E(5)),"PEO intercalated into Li+ montmorillonite in CH3CN for several days,washed with CH3CN and MeOH,then dried under vacuum at 350K",Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7e-08,-7.431798275933005,"ca 543 [K] , 10mHz-0.5MHz,maximum elec. cond. in perpendicular to silicate layer",Taken from the Fig.6,Frequency response analyzer,270.0,t=30-40micron,3.5e-05,-4.455931955649724
14099-2-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,linear,Composite,carbon fiber(powdery CF); volume %; 10,,Sheet,"l = 25mm, w = 25mm, t = 5mm","Agari, Y.; Ueda, A.; Nagai, S. , Journal of Applied Polymer Science , 52 , 9 , 1223-1231 (1994)",,"carbon fiber(powdery CF) supplied by Toray Co., Diam. = 1.0 micro meter",,,Unknown=5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23e-14,-13.910094888560602,"23 [C] ,  RH 50%","X direction, taken from the Fig.",,23.0,"l = 25mm, w = 25mm, t = 5mm",0.005,-2.3010299956639813
14099-3-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,linear,Composite,carbon fiber(powdery CF); volume %; 30,,Sheet,"l = 25mm, w = 25mm, t = 5mm","Agari, Y.; Ueda, A.; Nagai, S. , Journal of Applied Polymer Science , 52 , 9 , 1223-1231 (1994)",,"carbon fiber(powdery CF) supplied by Toray Co., Diam. = 1.0 micro meter",,,Unknown=5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86e-08,-7.730487055782084,"23 [C] ,  RH 50%","X direction, taken from the Fig.",,23.0,"l = 25mm, w = 25mm, t = 5mm",0.005,-2.3010299956639813
14099-4-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,linear,Composite,carbon fiber(Type A); volume %; 10,,Sheet,"l = 25mm, w = 25mm, t = 5mm","Agari, Y.; Ueda, A.; Nagai, S. , Journal of Applied Polymer Science , 52 , 9 , 1223-1231 (1994)",,"carbon fiber(Type A) supplied by Toray Co., Diam. = 7.5 micro meter, number-average length = 36.5 micro meter, weight-average length = 44.9 micro meter",,,Unknown=5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95e-14,-13.709965388637482,"23 [C] ,  RH 50%","X direction, taken from the Fig.",,23.0,"l = 25mm, w = 25mm, t = 5mm",0.005,-2.3010299956639813
14099-5-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,linear,Composite,carbon fiber(Type A); volume %; 30,,Sheet,"l = 25mm, w = 25mm, t = 5mm","Agari, Y.; Ueda, A.; Nagai, S. , Journal of Applied Polymer Science , 52 , 9 , 1223-1231 (1994)",,"carbon fiber(Type A) supplied by Toray Co., Diam. = 7.5 micro meter, number-average length = 36.5 micro meter, weight-average length = 44.9 micro meter",,,Unknown=5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,-1.337242168318426,"23 [C] ,  RH 50%","X direction, taken from the Fig.",,23.0,"l = 25mm, w = 25mm, t = 5mm",0.005,-2.3010299956639813
14099-6-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,linear,Composite,carbon fiber(Type B); volume %; 10,,Sheet,"l = 25mm, w = 25mm, t = 5mm","Agari, Y.; Ueda, A.; Nagai, S. , Journal of Applied Polymer Science , 52 , 9 , 1223-1231 (1994)",,"carbon fiber(Type B) supplied by Toray Co., Diam. = 7.5 micro meter, number-average length = 100.7 micro meter, weight-average length = 162.2 micro meter",,,Unknown=5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00062,-3.207608310501746,"23 [C] ,  RH 50%","X direction, taken from the Fig.",,23.0,"l = 25mm, w = 25mm, t = 5mm",0.005,-2.3010299956639813
14099-7-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,linear,Composite,carbon fiber(Type B); volume %; 30,,Sheet,"l = 25mm, w = 25mm, t = 5mm","Agari, Y.; Ueda, A.; Nagai, S. , Journal of Applied Polymer Science , 52 , 9 , 1223-1231 (1994)",,"carbon fiber(Type B) supplied by Toray Co., Diam. = 7.5 micro meter, number-average length = 100.7 micro meter, weight-average length = 162.2 micro meter",,,Unknown=5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,-0.2839966563652008,"23 [C] ,  RH 50%","X direction, taken from the Fig.",,23.0,"l = 25mm, w = 25mm, t = 5mm",0.005,-2.3010299956639813
14099-8-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,linear,Composite,carbon fiber(Type C); volume %; 10,,Sheet,"l = 25mm, w = 25mm, t = 5mm","Agari, Y.; Ueda, A.; Nagai, S. , Journal of Applied Polymer Science , 52 , 9 , 1223-1231 (1994)",,"carbon fiber(Type C) supplied by Toray Co., Diam. = 7.5 micro meter, number-average length = 163.3 micro meter, weight-average length = 340.0 micro meter",,,Unknown=5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098,-1.0087739243075051,"23 [C] ,  RH 50%","X direction, taken from the Fig.",,23.0,"l = 25mm, w = 25mm, t = 5mm",0.005,-2.3010299956639813
14099-9-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,linear,Composite,carbon fiber(Type C); volume %; 30,,Sheet,"l = 25mm, w = 25mm, t = 5mm","Agari, Y.; Ueda, A.; Nagai, S. , Journal of Applied Polymer Science , 52 , 9 , 1223-1231 (1994)",,"carbon fiber(Type C) supplied by Toray Co., Diam. = 7.5 micro meter, number-average length = 163.3 micro meter, weight-average length = 340.0 micro meter",,,Unknown=5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098,-1.0087739243075051,"23 [C] ,  RH 50%","X direction, taken from the Fig.",,23.0,"l = 25mm, w = 25mm, t = 5mm",0.005,-2.3010299956639813
14279-1-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,"H.S.3903.19/ / Novacor Chemicals Inc.,Leominster,MA","linear,Thermoplastic",Composite,Ni;vol.%;11.0,,Block,Specimen size 20*10*10mm,"Danescu, R. I.; Zumbrunnen, D. A.; Ogale, A. A. , Annual Technical Conference - Society of Plastics Engineers , 54th , Vol. 2 , 2558-2562 (1996)",,"Ni powder(3micron, 99.7% purity, Aldrich Chemical Co.)",Nickel was combined with PS by dissolution of the PS in xylene; Then xylene was evaporated,,,atactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.0,2.287801729930226,In the direction of the greatest dimension,Converted from 5.16E(-5)ohm*m,Precision digital multimeter,,Specimen size 20*10*10mm,0.01,-2.0
14368-2-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,"linear,Thermoplastic,Semiconductive",Composite,carbon black (S6);vol%;ca.14 (ca.20wt%),"Compressed under increasing pressure (2MPa/5min, 10MPa/3min and 30MPa/2min)",Film,t = 1 and 2mm," Applied Physics , 29 , 5 , 1360-1366 (1996)",,"PE; Produced by Blachownia, Kedzierzyn-Kozle, carbon black (S6);Sakap 6;Carbochem (Poland)",Mixed in two-roller lab. mill for 25min at 423K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e-14,-13.69897000433602,"23 [C] , 10kV/cm","RT, taken from the Fig.3",Three-electrode sandwich-type system,23.0,t = 1 and 2mm,,
